name,score,stars_y,review_count,city
Abbruzzi & Giunta's Italian Market,3.3665064484126983,4.5,44,Mount Laurel
Abel's Authentic Mexican Cuisine,2.63202813647842,3.5,47,Verdi
Abner's Pizza & Grill,1.4225765306122449,1.5,5,Woodlyn
Above The Salt Cafe,3.6190754042832167,5.0,41,Tampa
Abruzzi Pizza,1.681804879148629,3.0,55,Brookhaven
Absolutli Goosed,3.160960009515444,4.0,83,Saint Louis
Abyssinia Ethiopian Restaurant,3.0952556166607086,4.5,168,Indianapolis
Acadia,2.9375,4.0,79,Philadelphia
Acajutla,2.7214888888888886,3.5,42,Edmonton
Acapulco Loco,0.6446103896103895,2.5,19,Clearwater
Ace Diner,2.9515,4.0,13,Warrington
Acme Oyster House - Harrahs,2.65126159554731,3.0,205,New Orleans
Acropolis,2.655763668430335,3.0,13,Belleville
AeroCaffe´,3.59390625,4.5,14,Boise
Affton Diner,2.420317424242424,3.5,83,Saint Louis
African Palace Bar And Grill,3.677625,4.0,26,Florissant
African Small Pot,2.860627546511796,4.0,49,Philadelphia
Agustín Brasserie,2.807485356184777,3.5,41,Tucson
Aiello's Pizzeria,2.9209388528138525,4.0,12,Granite City
Ajo Cafe,3.661805555555555,4.0,43,Tucson
Akira,2.132229101576528,3.0,40,Collingswood
Akira Hibachi & Sushi Bar,3.357225994318182,4.0,74,Riverview
Akoi Nail Spa,3.664357142857143,3.5,49,Voorhees Township
Al's Finger Licking Good Bar-B-Que,3.45620668381964,4.5,409,Tampa
Al's Italiano Pizzeria & Ristorante,3.2368181818181814,3.5,23,Philadelphia
Al's Pub & Pizza,2.1651828606176426,4.0,9,Indianapolis
Al-Sham Restaurant,0.7875,4.0,19,Boise
Aladdin's Hookah Lounge and Bar,3.340295323363505,3.5,78,Nashville
Albasha Greek & Lebanese Café,2.9881548964038473,4.0,132,Metairie
Aldertos Fresh Mexican Food,2.7827986885983496,3.5,238,Reno
Aldine,2.9296886624390335,4.0,156,Philadelphia
Aldo's Ristorante Italiano,3.284083922371032,4.0,74,Holland
Alex's,3.085166666666667,4.0,54,Tampa
Alfredo's Italian Byo West Chester,2.9040655906593407,3.5,15,West Chester
Alfredo's Pizza,3.186926937167697,4.5,79,Broomall
Alfresco's,2.88375,3.0,12,St Petersburg
Ali Baba,2.7204839231475595,4.0,80,New Orleans
Ali-Baba’s Greek & Lebanese Cuisine,1.5044545454545453,3.5,12,Metairie
Alison two,2.9042989417989418,4.0,8,Fort Washington
Allegro Pizza,2.0733727523126277,3.0,221,Philadelphia
Alma Llanera Venezuelan Food,3.401655167740173,4.5,124,Pinellas Park
Aloha Japanese Steakhouse,0.691,2.0,11,Reno
Alpha Pizzeria,1.4404587662337662,3.0,45,Port Richey
Altamura,2.1526464577089577,3.5,27,New Orleans
Alvarez  Authentic Latin Food,3.579107142857143,4.5,51,Land O' Lakes
Aman's Indian Bistro,3.3073581358225104,4.5,38,Harleysville
Amato Bros,2.8515892857142857,4.0,41,Oaklyn
Amato's Deli Restaurant,1.433558377896613,2.5,5,Philadelphia
Amber Indian Restaurant,3.2485609713203463,4.0,243,Carmel
American Social,2.143420338129731,3.5,768,Tampa
Americano - Freestyle Tapas Bar,3.225328736912684,4.5,421,Nashville
America’s Deli,2.490916193181818,3.5,23,Antioch
Amici's Deli,1.3413653846153846,3.0,9,Philadelphia
Amigos Mexican Restaurant,3.1363009508348796,4.0,96,Boise
Amish Country Market At The Feed Mill,3.002529761904762,4.0,69,Nolensville
Amore Mio,3.394821338383838,4.0,29,Tampa
An American Place,3.239146735617324,3.0,22,Saint Louis
Anaya's Mexican Restaurant,2.8788998868977256,3.5,54,Greenwood
Anchor High Grill,3.622181818181818,3.5,12,Hendersonville
Andale Latino Grill,3.0186728896103894,4.5,194,Feasterville-Trevose
Andre's BBQ and Seafood,1.4745833333333331,4.0,9,Indianapolis
Andrea's Restaurant,1.5166289192949907,2.5,218,Metairie
Angela's Mexican Food,2.7001712740384614,3.5,70,Tucson
Angelina's,3.3770034013605446,4.5,49,Philadelphia
Angelito's Rotisserie & More,2.6647569444444446,4.5,60,Tampa
Angelo's Chicago Taste,2.2905270913079034,3.5,68,Hazelwood
Angelos Pizza,2.677151855584891,4.0,115,Holiday
Angie's Luncheonette,3.6079761904761902,4.0,72,Bordentown
Angie's Restaurant,2.81891156462585,4.0,55,Clearwater
Angys’s Cafe And Ice Cream Parlor,2.849027031680441,4.5,22,Warminster
Anjou Restaurant,1.0758972154724231,2.5,19,Philadelphia
Annex,1.578295302736479,3.5,46,Saint Petersburg
Annie Moons Bakery & Cafe,3.5743382352941175,5.0,6,Saint Louis
Another Broken Egg Cafe,3.2948452035633524,4.5,511,Clearwater Beach
Anthony's Coal Fired Pizza,2.680496897572655,4.0,229,Tampa
Anthony's at Paxon Hollow,2.638845919006367,3.5,32,Broomall
Antojitos El Arriero,3.093114663880181,3.0,14,Kenner
Ants Pants Café,2.7404360474509732,4.0,531,Philadelphia
Aoki Japanese Restaurant,2.157166666666667,3.0,5,Exton
Apollo Burger,2.3374494942067736,3.0,51,Hendersonville
Apollo's Family Pizzeria,3.211122581168831,4.0,69,Bensalem
Apple Farm Diner and Bakery,1.4337289997236804,2.5,5,Tucson
Applebee's Grill + Bar,2.039756717254485,2.5,43,Deptford
Apron,3.6197569444444446,4.5,24,Haddonfield
Aquafinz,2.8491564814077863,3.5,86,Lutz
Aqui Con El Nene,3.1944470845535182,4.5,322,Tucson
Arber Cafè,2.413102564102564,4.5,18,Saint Louis
Arby's,1.446240978422619,2.5,38,New Orleans
Arbys Roast Beef,3.57875,2.5,19,Philadelphia
Archway Sandwich Shop,2.514264204545454,3.0,7,Philadelphia
Ardmore Pizza,2.6642118789074067,3.5,109,Ardmore
Argento's Pizza & Family Resturant,3.6401530612244897,3.5,13,Pottstown
Ariana,2.493145713176575,4.0,115,Philadelphia
Arner's Restaurant,0.965486939674354,2.0,57,New Castle
Aroma Grill and Bar,2.5207142857142855,3.0,8,Bensalem
Aroma Indian Bistro,3.567483766233766,4.5,100,Merchantville
Aroy Thai,2.505348722770151,3.5,157,O Fallon
Asahi Japanese Sushi,2.6932619472789114,3.5,34,Nashville
Asahi Sushi & Asian Grill,3.2842411308394994,4.0,56,Belle Chasse
Asian Cafe,3.384697036206547,3.5,80,Phoenixville
Asian Chef Fusion Cuisine,2.863079190804931,4.0,111,Mount Laurel
Asian Garden,0.7044444444444444,3.0,10,Philadelphia
Asian Harbor,2.707411277399139,3.5,187,Indianapolis
Asian Kitchen,3.2187265624999997,4.0,51,Palm Harbor
Asian Pho,2.4519704084853635,3.5,194,Reno
Asian Taste Inn,2.4854464285714286,4.0,61,Huntingdon Valley
Aston Diner,2.2812582006142246,3.0,125,Aston
Athens Restaurant,3.1143531746031745,4.0,72,Safety Harbor
Audubon Ale House,2.977109375,2.5,36,Audubon
Augie's Restaurant,3.608584415584416,3.5,32,Harahan
August Moon Chinese Restaurant,2.6563048844537813,3.0,83,New Orleans
Augusto's,3.1389660673793323,4.0,85,Warminster
Auntie Anne's Pretzels,0.7076971726190476,2.0,6,Nashville
Auntie's Soul Food & More,0.64,3.5,13,Tampa
Ava,2.3473688005937396,3.5,544,Tampa
Avalon Bistro,2.3501816991219564,3.5,26,Downingtown
Avola Kitchen + Bar,2.946433566433566,4.0,86,Malvern
Axis Pizza,2.9506882499193674,3.0,159,Philadelphia
Aya's Pizza,2.1336111111111107,2.5,30,Philadelphia
B & C Market BBQ,3.135595003231722,4.0,51,Nashville
B&B Breakfast and Lunch,3.2385681818181817,3.5,30,Philadelphia
B's Diner,2.8842708333333333,3.5,16,Edmonton
B.GOOD,2.6987939604861384,3.5,146,Marlton
B2 Bluefin,3.5397125541125543,4.0,92,Bala Cynwyd
BAP,2.994768381969169,4.5,205,Philadelphia
BB's Bar-B-Q,2.3177852328431374,3.0,83,Franklin
BBQ BBQ,2.885181346539293,3.5,66,Horsham
BFF Cafe,3.311325292518503,4.0,92,Reno
BJ's Restaurant & Brewhouse,2.177289153457768,3.5,301,Lutz
BK Tacos,2.790930610824953,4.0,492,Tucson
BLU Mediterranean Grill,3.670888888888889,4.0,63,Doylestown
Bab Café - Reno,3.248630090336898,4.5,470,Reno
Back To the 50S,1.6318724436483059,3.5,41,Furlong
Back To the Garden,3.0006248466810965,4.0,33,New Orleans
Back Yard Burgers,2.85165873015873,3.0,37,Brentwood
Backspace Bar & Kitchen,3.0947240583867033,4.0,443,New Orleans
Backyard Bowls,3.1454585268524493,4.0,659,Santa Barbara
Bacon Boise,2.782151197017268,3.5,83,Boise
Bad Boy Burgers 2,2.6013214015151513,3.0,68,Boise
Bagel Bin of Voorhees,0.8653859126984126,2.5,91,Voorhees Township
Bagel Delights,1.6122803368506493,3.0,31,Lambertville
Bagelicious - King Of Prussia,1.587859720933828,3.5,60,King of Prussia
Bagger Dave's Burger Tavern,1.7301964227047313,3.0,83,Indianapolis
Baggin's,2.1604571428571426,3.0,46,Tucson
Baggin's Gourmet Sandwiches,1.799901375506214,3.0,32,Tucson
Baguette Deli,2.8860457264610737,4.0,207,Boise
Baileys' Range,2.816825729029648,3.5,1567,Saint Louis
Baja Fresh,1.4607915019762845,2.5,17,Newark
Bake 425,2.8601923076923077,4.0,14,Bryn Mawr
Ballyhoo Grill,2.3318221908743806,3.5,262,Tampa
Bambino Pizza,2.85171875,3.0,29,Dunedin
Bamboo Bistro,1.490892857142857,3.0,6,Nashville
Bamboo Grill Jamaican Restaurant,2.8348571428571425,3.5,39,Trenton
Bamboo House,2.357029581529581,2.5,49,Indianapolis
Bamboo House of Noodle Soups,2.776089285714286,4.0,52,West Chester
Bandit Coffee Co.,3.302325253845534,4.5,296,Saint Petersburg
Bangkokville Thai Cuisine,3.452140412440621,4.5,341,Nashville
Banks Street Bar,0.6753571428571428,3.5,42,New Orleans
Bar Avalon,3.0357418798846356,4.0,107,West Chester
Bar Louie - Carmel,3.1241220305942954,3.5,186,Carmel
Bar One,3.5867398656898657,4.0,65,Philadelphia
Bar-B-Cutie,2.2962287037037035,3.5,40,Madison
Bar-B-Q Heaven,2.9229166666666666,3.0,10,Indianapolis
Barbacoa,2.8451041666666663,3.5,13,Upper Darby
Barbara's Home Cookin,3.2522211632694193,4.0,112,Franklin
Barbarians,2.167734192343604,3.0,96,Santa Barbara
Barbecue and Bourbon,3.306620504727764,4.0,284,Speedway
Bardolino Italian Steakhouse,2.862528409090909,3.5,18,Glen Mills
Bareburger - Midtown Village,2.7739242544463,4.0,622,Philadelphia
Barnes Jewish Hospital Cafeteria,2.38902688172043,2.5,16,Saint Louis
Barone's Tuscan Grill,2.349739402600397,3.5,118,Moorestown
Barra Restaurant,1.860588863360515,2.5,117,Philadelphia
Barra Rossa Ristorante & Wine Bar - Downington,1.9118135235447895,3.0,100,Downingtown
Barrel 55,1.9761494792307188,2.5,148,Meridian
Barrelhouse Pub and Grill,2.569727455574992,3.0,178,Garden City
Barrio Brewing,2.8010957533724574,4.0,611,Tucson
Barrio Cuisine,3.0697594173432403,3.5,71,Tucson
Barrister's Bagels,2.137705269607843,3.0,93,Royersford
Barro's Pizza,2.5808836290197896,3.5,116,Marana
Bascettis Italian Grille,1.421362103174603,3.5,83,Dunedin
Basically Buttercream Bakery & Cafe,1.4076923076923076,2.5,8,Brownsburg
Basil Fusion Bistro,3.4673177083333333,4.0,36,Clearwater
Basil Spice Thai Cuisine,2.143543990308968,3.0,222,Saint Louis
Basimo Beach Cafe,3.3448802976015046,4.0,339,Clearwater
Batter'd & Fried Boston Seafood House,2.7517877276913976,3.5,318,Nashville
Batture,3.2594565217391303,4.5,34,New Orleans
Bauernschmaus Restaurant,3.570493421052632,4.0,29,Edmonton
Bawarchi Indian Restaurant,2.1398383360466693,3.5,101,Wilmington
Baxter's Saloon & Grill,1.6473261972402597,2.5,31,Malvern
Bay City Sandwich Shop,2.2455468749999996,4.5,10,Tampa
Bayou Bistro Louisiana Cuisine,1.8462180304231364,3.0,191,New Orleans
Bayou Burger & Sports Company,2.6645649931125432,3.5,446,New Orleans
Beach Hut Deli,3.081443339871272,3.5,164,Reno
Beagle Tavern,2.362567568089703,3.0,15,Norristown
Beanie's Bar & Sports Grill,2.2010586927952995,3.5,80,Ruskin
Beans BBQ and Catering,3.6365412561576353,5.0,13,Santa Barbara
Beautiful Shades,2.8519050802139034,4.0,13,Indianapolis
Beawon,2.052027840460028,3.0,159,Cherry Hill
Beck's Cajun Cafe,2.751708325111168,4.0,485,Philadelphia
Beef 'O' Brady's,1.9203441939070818,3.0,11,Largo
Beer Garden At Reilly Craft Pizza,3.5702708333333333,3.5,24,Tucson
Belgravia Hub,2.9237499999999996,4.0,27,Edmonton
Bella Pizzeria,1.8944449770608482,3.0,66,Indianapolis
Bellacino's Pizza & Grinders,1.9574937169312168,3.5,72,Saint Louis
Bellagio Pizza & Subs,2.89225975140056,4.0,160,Nashville
Belleair Coffee Company,3.6264772727272727,4.5,94,Belleair Bluffs
Bello's Bakery,3.6611818181818183,4.0,37,Des Peres
Ben's BBQ and Beer,3.0676587428774926,3.5,29,Bensalem
Benihana,2.0828458845208844,2.5,240,Plymouth Meeting
Benna's West,3.2490346297021944,3.5,47,Philadelphia
Berix Restaurant,2.787277663386783,4.0,93,Saint Louis
Berlins Doener,3.410179229077171,4.5,166,Saint Petersburg
Bernie's Restaurant & Bar - Hatboro,2.844646178525016,3.0,201,Hatboro
Bertucci's,1.9681123917748917,2.5,39,Norristown
Besito Mexican Restaurant,2.9323547592398604,4.0,1092,Tampa
Best Life Pharmacy & Restaurant,0.7025,3.0,19,New Orleans
Bevan's Cold Cuts,3.4008966907087794,4.0,15,West Chester
Bevmo,3.6049847374847372,4.0,21,Goleta
Bhann Thai,2.566571310797046,3.0,47,Earth City
Bici Cafe,2.1957803571428567,2.5,26,Saint Louis
Big Al's House Of Blues,2.9081989795918366,4.0,7,Edmonton
Big Apple Pizza & Subs,3.6042708333333335,4.0,15,Sparks
Big Bok Choy Bistro,2.5306930858328176,4.0,30,Oldsmar
Big City Subs,3.542265625,3.5,5,Brentwood
Big Island Poke,3.4647516806110557,4.0,128,Tampa
Big Mike's BBQ,3.642857142857143,4.5,32,Tampa
Big Q BBQ,2.125739583333333,2.5,65,Levittown
Big Tim's BBQ,1.7859640538033394,3.0,19,St. Petersburg
Big Woody's BBQ,3.4990148809523807,4.5,185,St Charles
Bilbo's BBQ N Grill,2.1423272727272726,4.0,17,Port Richey
Billingsgate Fish Co.,1.3899066408128906,3.0,16,Edmonton
Billy Bob's,0.7068232063075812,1.5,14,Harvey
Binder Alois J Bakery,3.182517857142857,4.5,10,New Orleans
Binni & Flynn's,1.7884590409590406,2.5,25,Berwyn
Binto,0.688,4.0,25,Philadelphia
Birds Nest Cafe,3.586818181818182,4.5,20,New Orleans
Biryani Hut,3.6042136363636366,4.0,83,Noblesville
Biscuit Love: Hillsboro Village,2.8927929932955725,4.0,578,Nashville
Biscuits Cafe,2.8898019309166476,4.0,308,Indianapolis
Biscuits Country Cafe,2.4821467770376175,3.5,167,Tucson
Bistro Habanero,2.8309632457785234,4.0,243,Reno
Bistro St. Tropez,2.6313719104872337,3.5,163,Philadelphia
Bitar's,3.249188528138528,4.0,154,Philadelphia
Bitter Sweet,3.379805207633602,4.5,27,Indianapolis
Bittersweet Confections,3.4684034980057867,4.5,351,New Orleans
Black Diamond BBQ & Catering,2.8529134731959567,4.0,90,Indianapolis
Black Horse Diner & Restaurant,2.57637525241977,3.5,110,Mount Ephraim
Black Palm Restaurant,3.632159090909091,4.5,11,St. Petersburg
Black Rock Pizza,2.3017603370523108,4.0,169,Sparks
BlackFinn American Grille,2.272692024561087,3.0,75,Saint Louis
Blackberry Cafe,1.6620959595959597,3.0,21,Saint Louis
Blackthorn Pub and Pizza,2.8413862967434778,3.5,446,St. Louis
Blake's Lotaburger,2.1258135784986383,3.0,225,Tucson
Blaze Pizza,2.9277810460994553,3.5,201,Reno
Blimpie,3.5905681818181816,3.5,13,Boise
Blondie's Coffee and Wine Bar,2.7205626361459885,4.0,296,Saint Louis
Blu Fig,2.6441026435220847,4.0,118,Nashville
Blue Bell Pizza,2.363373026722651,3.0,61,Blue Bell
Blue Moon Gourmet Pizza,2.380073452551788,3.5,84,Reno
Blue Plate Cafe,3.5621296296296294,4.0,27,New Orleans
Blue Quill Chinese Food,1.4478225108225105,3.0,26,Edmonton
Blue Sage Vegetarian Grille,3.2626970338365684,4.5,572,Southampton
Blueberry Hill Pancake House,1.9831489250600807,3.5,101,Indianapolis
Blueplate,2.750204041518159,4.0,232,Mullica Hill
Blues City Deli,3.5026580675005308,5.0,991,Saint Louis
Bluestone Lane,3.6465625,3.5,33,King of Prussia
Bluewater Grill - Santa Barbara,3.0828363180415264,4.0,768,Santa Barbara
Boardwalk Pasta & Seafood,2.2464893027497195,3.0,61,Saint Petersburg
Bob Evans,2.0454796607997263,2.5,44,Indianapolis
Bobalouie's Grille & Sports Garden,2.9153124999999998,3.5,27,Tampa
Bobby Chez Crabcakes,2.9168392857142855,3.5,30,Cherry Hill
Bobby Hotel,2.90625,3.5,178,Nashville
Bobeck's Sports Bar & Grill,3.5548344155844154,3.5,8,Waterloo
Bobo's Sports Bar,2.886146497393149,4.5,36,Philadelphia
Bocconcini,3.37333128977504,4.5,163,Philadelphia
Body Fuel,3.671,4.0,15,Valrico
Boiling Pot,2.5801695188492064,4.0,22,New Orleans
Boise Bistro Market,3.6106706349206346,4.5,33,Boise
Boizao,3.0550272817460318,3.5,66,Tampa
Bollywood Cafe & Grill,3.5733035714285712,4.5,5,Tampa
Bonks Bar,3.1294254385964906,4.0,35,Philadelphia
Bono's Pizzeria,2.513192968625577,4.0,152,Saint Louis
Books & Brews - Zionsville,2.6320103785103783,4.0,66,Zionsville
Boostin' Bowls,2.531144026360544,4.5,77,Philadelphia
Borrello's Pizza & Pastaria,3.1738658221597094,4.0,169,Carpinteria
Boston Market,1.6971270274170274,3.0,30,Seminole
Boston Pizza,2.00846433183294,3.0,10,Beaumont
Bottom of the Sea,2.1640725713896667,3.0,14,Philadelphia
Botto’s Italian Line Restaurant,2.7101144383889917,3.5,137,Swedesboro
Boulevard Pizza,2.543623094887568,4.0,199,Sparks
Bourbon & Branch,2.7041513724621025,4.0,392,Philadelphia
Bowl & Roll,3.4102023809523807,4.0,38,Nashville
Brady's BBQ,2.4699974726957783,3.0,160,Safety Harbor
Brandon Bagels,3.2191857637312182,4.5,119,Brandon
Brasil Tropical,1.1141666666666665,2.0,15,Pinellas Park
Bravo Pizza,2.8772767857142854,4.5,12,Phoenixville
Brawley's Restaurant,1.2061839402427637,3.5,90,Tucson
Breakfast Boutique Chestnut Hill,2.3262208919552667,3.0,151,Philadelphia
Breakfast Club,3.353767118298368,4.5,80,Port Richey
Breakfast Culture Club,2.818388421079933,4.0,108,Santa Barbara
Brenda's On the Causeway,3.0948762755102037,4.0,62,Dunedin
Brew Brothers,2.61329718419557,3.5,592,Reno
Brew D Licious,3.462639813811868,4.5,172,Saint Petersburg
Brewerytown Taproom,1.6874147727272728,3.0,12,Philadelphia
Brewster's Pub,0.8022222222222222,3.5,12,Maple Shade
Brewsters Brewing Company & Restaurant,2.166802380952381,3.5,37,Edmonton
Brick & Mortar,3.3981708808330473,4.5,421,Saint Petersburg
Brick City Eatery,3.6685761363636358,4.0,114,Lutz
Brick House Tavern + Tap,2.6624770724096845,3.5,561,Tampa
Bridesburg Pizza,1.4643749999999998,3.5,18,Philadelphia
Bridgeport Rib House,2.6099353489069914,3.5,135,Bridgeport
Bridgewater's Pub,2.281149942319585,3.5,162,Philadelphia
Brindle Cafe,1.7719667832167831,3.0,9,Philadelphia
Brio Italian Grille,2.453590059154543,3.5,366,St Louis
Brixx Craft House,3.6120210084033615,4.0,115,Boise
Brixx Wood Fired Pizza,2.725471989565137,4.0,193,Fishers
Broad Ripple Brewpub,2.951988049205626,3.5,378,Indianapolis
Broadway Bar & Grille,3.078393858961611,4.0,49,Clifton Heights
Brodo,2.1729251567398116,3.0,33,Philadelphia
Brooklyn Pizza & Cafe,2.496985524891775,3.5,69,Nashville
Brother Paul's,2.0843799196176946,3.0,85,Eagleville
Brothers Pizza & Pasta,1.3699999999999999,3.5,36,West Chester
Broussard's,2.3416440540279826,3.5,63,New Orleans
Brown Sugar Bakery & Cafe,3.1470382423862686,4.5,66,Philadelphia
Brown's Doughnut  & Pastry,3.6319444444444446,4.5,29,Dublin
Bruegger's Bagels,3.146332274137725,3.5,45,Tucson
Brugada,2.9197499999999996,3.5,49,Nashville
Brummis - the German Taste,3.2286127851802946,4.5,111,Santa Barbara
Brunchies,1.9042986751917672,2.5,20,Zionsville
Brunchies - Lutz,3.029466225695375,4.0,272,Lutz
Bruno's Cafe & Trattoria,2.866297846889952,3.5,7,Malvern
Bruno's Pizza & Restaurant,3.3437394072685893,4.0,104,Haddonfield
Bub's Cafe,2.4831730529814515,4.0,175,Carmel
Bubba Gump Shrimp Co.,2.7384672850958562,2.5,132,Edmonton
Bubba Tea & Cafe,2.8834784663865545,3.5,11,Saint Louis
Bubble Shack,3.309655140123035,4.5,97,Wilmington
Bubble T,3.6621875,4.5,13,Edmonton
Buckingham Pizza,2.805810347348027,3.5,55,Buckingham
Buddy's Grill,2.7406949683282398,3.5,14,Tucson
Buena Onda,2.923737874905517,4.0,552,Philadelphia
Buena Vista Mexican Restaurant,2.696393492886773,3.5,107,Malvern
Bueno's Mexican Cuisine,2.8686666666666665,3.5,10,Marlton
Buffalo Bell,2.1229709595959596,4.0,53,Tucson
Buffalo Wild Wings,2.2701510526510527,2.5,100,Downingtown
Buhos Latin Fusion & Bar,2.276505170623028,3.5,60,Phoenixville
Bui's,3.0188652822023943,4.5,104,Philadelphia
Build-a-Burger,1.4162422161172161,2.5,38,Nashville
Bullard Seafood and Grill,2.8825710227272725,3.5,41,New Orleans
Bully's Smokehouse,2.2693295681170675,3.5,58,Columbia
Bully's Sports Bar & Grill,2.1806103810337976,3.0,116,Reno
Burger Bar at Lumiere Place,2.290610192300368,3.5,66,Saint Louis
Burger King,1.2896952561327562,1.5,17,Tampa
Burger Lane,0.7046522556390977,2.0,14,Philadelphia
Burger Republic,2.9694309562941443,4.0,721,Nashville
Burger Study,2.8600954029379095,4.0,441,Indianapolis
Burger Theory,3.0193709415584418,4.0,86,Indianapolis
Burger Up,2.891912641231404,4.0,857,Nashville
Burger Up - Franklin,2.538581193842638,3.5,329,Franklin
BurgerIM - Mt. Juliet,3.5302272727272728,3.5,51,Mount Juliet
Burgerrito,3.10140625,3.5,34,Tucson
Burritos Grill Mexican Fresh Cuisine,3.1019595603035435,4.5,75,New Orleans
Buster's Pizza,1.3528125,2.0,6,Edmonton
Butcher & Bee,2.7729380584890984,4.0,863,Nashville
Butter's Soul Food,2.26228373015873,3.0,77,Philadelphia
C J Muggs,2.269309247234247,3.5,102,Webster Groves
C.I. Chu's Mongolian Barbeque,2.6960486776746215,3.5,177,Tucson
CBQ Cowboy Bar & 'Que,2.376251525826137,3.0,133,Sparks
CC's Coffee House,2.4387003256097644,3.5,53,Metairie
CD Roma Restaurant,2.9427383516754984,4.0,125,St Petersburg
CJ's Bar-B-Skew,0.7,3.0,10,Tampa
CJ's Grille,2.222875,3.0,5,White House
Cactus Restaurant & Bar,1.647476339794363,3.0,312,Philadelphia
Cafe Arnold Neighborhood Grill,0.7119756493506493,2.5,9,Arnold
Cafe Bamboo,2.871079071969697,4.5,32,New Orleans
Cafe Beignet on Bourbon Street,2.720345779891595,3.5,1066,New Orleans
Cafe Bosna,3.412395263116005,4.5,135,Hermitage
Cafe Brasil,0.735625,2.5,8,Saint Louis
Cafe Buenos Aires,2.327523167824796,3.5,56,Santa Barbara
Cafe Cioccolato,2.134285714285714,4.5,20,Saint Louis
Cafe Con Leche,0.7479374999999999,2.5,55,Tampa
Cafe De Manila,3.1093277625152624,3.5,110,Reno
Cafe DeLuxe,3.0206621268595684,4.0,237,Reno
Cafe Du Monde,3.1346700968077283,4.0,127,Metairie
Cafe Envie & Espresso Bar,3.17833718599829,4.0,447,New Orleans
Cafe Fiorello's,3.6387371794871797,3.5,115,West Chester
Cafe Fleur De Lis,2.703088828576596,4.0,1865,New Orleans
Cafe Napoli Restaurant & Pizzeria,3.08792796046546,4.0,114,Wilmington
Cafe Nino,3.264366499819625,4.0,63,New Orleans
Cafe Noir,3.4907291666666667,4.0,7,Metairie
Cafe Olivia,3.378104761904762,4.5,34,Indianapolis
Cafe Pontalba,2.0450945001569156,3.0,560,New Orleans
Cafe Ponte,3.2103934705354282,4.5,541,Clearwater
Cafe Provencal,3.076224176749177,4.0,116,Saint Louis
Cafe Reconcile,3.367788945781662,4.5,152,New Orleans
Cafe Roma,1.7649939838821773,3.0,110,New Orleans
Cafe Soleil,3.398490935954744,5.0,468,St. Pete Beach
Cafe Square One,3.0055816613556194,4.5,245,Philadelphia
Cafe Verdi Restaurant,2.489755527111777,3.0,44,Wilmington
Cafe Victoria's,2.1484634688228437,3.0,29,Philadelphia
Cafe Vienna,2.4344562304147286,4.0,71,Saint Petersburg
Cafe de Marco,3.03,4.5,9,North Redington Beach
Caffe Primo,3.020572188250207,4.0,114,Santa Barbara
Café Aqui,3.649375,5.0,11,Tucson
Café Cuba,2.8990755969785575,3.5,42,Valrico
Café Jems,2.1999999999999997,4.0,11,Tampa
Café Piazza,2.6432094840633904,4.0,164,Saint Louis
Café Zupas,2.6602927170868345,3.0,75,Boise
